Latitude,Longitude,Type,Name
31.475531,74.357244,commercial,Waheed Trade Center
31.555118,74.4251,commercial,Super Internet Services
31.501116,74.419688,commercial,
31.541225,74.423614,commercial,Pace Circle
31.54806,74.411081,commercial,PSO Rangers Petrol Pump
31.556592,74.416028,commercial,Total Petrol and CNG
31.561552,74.421845,commercial,PSO Petrol and CNG
31.615597,74.290896,commercial,Shahdra Terminal
31.51018,74.344602,commercial,
31.5263,74.413146,commercial,
31.419215,74.265312,commercial,"Rehmat market, WAPDA Town"
31.462052,74.301648,commercial,
31.465559,74.232017,commercial,NLC HQ Dry Ports & Border Terminals
31.527913,74.350906,commercial,اسٹینڈرڈ چارٹرڈ
31.532458,74.349876,commercial,ایم سی بی ہاؤس
31.535065,74.346926,commercial,Landmark Plaza
31.495667,74.420149,commercial,Pakistan Yoga Council
31.496391,74.419412,commercial,Rajajee Banquet Halls
31.496958,74.417246,commercial,DHL Worldwide Service Provider
31.501837,74.367421,commercial,Moon Banarsi
31.574301,74.305532,commercial,District Courts
31.557457,74.367923,commercial,Department of Irrigation
31.571108,74.334406,commercial,حاجی کیمپ
31.564425,74.333156,commercial,Pakistan Television
31.564189,74.334339,commercial,پاکستان براڈکاسٹنگ کارپوریشن
31.584059,74.320922,commercial,اعظم کلاتھ مارکیٹ
31.560171,74.33367,commercial,WAPDA
31.583124,74.38996,commercial,پاکستان ٹکسال
31.467095,74.265696,commercial,Emporium Mall
31.464943,74.259731,commercial,Lahore Expo Centre
31.519608,74.381796,commercial,PAF Market
31.528642,74.338308,commercial,IGI General Insurance
31.491177,74.408897,commercial,Aziz Market
31.47466,74.402781,commercial,Civic Commercial Area Sector T DHA Phase 2
31.526841,74.412521,commercial,SkyNet Worldwide Express Lahore
31.546006,74.376182,commercial,Mian Mir Shopping Centre
31.582655,74.330224,commercial,Acid Market
31.581742,74.33071,commercial,Municipal Corporation Market
31.550522,74.373239,commercial,Timber Market
31.540578,74.377459,commercial,Lahore Cantonment Board Office
31.545573,74.380775,commercial,Cantonment Katchery
31.570298,74.318461,commercial,Camera Market
31.556623,74.302761,commercial,Anjuman Himayat-e-Islam Orphanage
31.563487,74.314422,commercial,Lahore High Court
31.564632,74.31293,commercial,Supreme Court of Pakistan - Lahore Bench
31.540912,74.320595,commercial,District Jail
31.572307,74.29045,commercial,WASA LDA Hydrology Directorate
31.58856,74.293481,commercial,Hafiz Paper Mart
31.468993,74.317442,commercial,"72 MB Floor Zainab tower, Link road, Model town, Lahore, Punjab, Pakistan"
31.526542,74.453547,commercial,Abdullah Mart
31.525701,74.453582,commercial,
31.582319,74.372341,commercial,
31.511632,74.350368,commercial,
31.498735,74.420809,commercial,
31.48107,74.303971,commercial,Cafeteria
31.53632,74.27879,commercial,
31.531576,74.45405,commercial,
31.57693,74.313302,commercial,Bairoon Lohari Gate Bazaar
31.577419,74.31138,commercial,Bairoon Mori Gate Bazaar
31.580804,74.324914,commercial,اکبری منڈی
31.584367,74.32296,commercial,پاکستان کلاتھ مارکیٹ
31.570021,74.303673,commercial,Civil Courts
31.564726,74.332419,commercial,Directorate General Public Relations
31.584911,74.323808,commercial,Noaghara Bazaar
31.512784,74.354246,commercial,Ghalib Market
31.510866,74.358572,commercial,Medical Store Depot Punjab
31.509441,74.358442,commercial,Sui Northern Gas Pipeline Limited
31.561103,74.335824,commercial,Director General of Social Welfare
31.561087,74.336824,commercial,Punjab Public Service Commission
31.510174,74.344574,commercial,Liberty Market
31.549591,74.272398,commercial,WASA Office
31.551824,74.282685,commercial,PTCL Exchange
31.550637,74.301893,commercial,Poonch House
31.575899,74.317822,commercial,Madina Electric Market
31.544906,74.330756,commercial,Anti-Terrorism Court
31.581779,74.328348,commercial,Kotwali Police Station
31.58283,74.329649,commercial,Malwada Complex
31.522068,74.453316,commercial,Serene Event Complex
31.46275,74.222672,commercial,
31.576329,74.316264,commercial,Super Shah Alam Market
31.576518,74.314858,commercial,Zam Zam Market
31.577563,74.309391,commercial,Hajveri Market
31.57829,74.308712,commercial,Sheikh Hindi Market
31.579467,74.306715,commercial,New Garden Market
31.587112,74.317293,commercial,Rim Market
31.467015,74.267863,commercial,
31.46653,74.268013,commercial,
31.466173,74.268117,commercial,
31.465801,74.268226,commercial,
31.465355,74.268355,commercial,
31.465022,74.26845,commercial,
31.495072,74.395296,commercial,Milad Chowk
31.463061,74.384627,commercial,DD Commercial Area CCA4
31.437742,74.324998,commercial,Cheetay Head Office
31.452793,74.299859,commercial,
31.582085,74.325349,commercial,Herb Bazaar
31.577765,74.305504,commercial,دربار مارکیٹ
31.581363,74.451797,commercial,
31.572809,74.44785,commercial,
31.503573,74.281031,commercial,Kareem Market
31.452473,74.433419,commercial,
31.44822,74.433669,commercial,
31.577556,74.331109,commercial,پتھر مارکیٹ
31.57588,74.324474,commercial,Azeem Electric Market
31.576081,74.324262,commercial,Punjab Mukhtar Electric Market
31.571866,74.333198,commercial,حاجی یوسف مارکیٹ
31.572836,74.333181,commercial,Sewing Machine Market
31.573992,74.316569,commercial,Namak Mandi
31.539173,74.330436,commercial,Shadman Main Market
31.502931,74.348008,commercial,Firdous Market
31.575736,74.303466,commercial,Hardware shops
31.577544,74.30276,commercial,Commerical
31.577244,74.302792,commercial,
31.57693,74.302847,commercial,
31.575093,74.301393,commercial,
31.574621,74.301506,commercial,
31.488519,74.326437,commercial,
31.501861,74.423019,commercial,
31.524217,74.34609,commercial,Main Market
31.579264,74.319111,commercial,Alamgir Market
