name,lat,lon,layer
VC Ground,31.499651299999993,74.3018808,university
Department of Geography,31.5019595,74.3085489,university
Punjab University Cricket Ground,31.5605657,74.30676390000002,university
Forman Christian College University,31.5224076,74.3323166,university
Riphah International University,31.378014399999994,74.2318658,university
پنجاب یونیورسٹی شعبہ قانون,31.52782539999999,74.3179555,university
Shine Institute of Management Studies,31.614832300000003,74.29045,university
De Montmorency College of Dentistry,31.5870524,74.30808009999998,university
University Of Education,31.5763386,74.3039617,university
Lahore Leads University,31.5030825,74.3290337,university
Virtual University Campus,31.473544799999992,74.3026454,university
Central Institute Of Management & Science,31.49798979999999,74.3355139,university
Information Technology University (ITU),31.476029899999993,74.34275259999998,university
Razia Hassan School od Architecture,31.3641805,74.2149954,university
درس گاہ عبدالسلام برائے علوم ریاضی,31.513010399999995,74.31465499999999,university
Virtual University of Pakistan,31.549501899999996,74.3280204,university
"Department of Computer Science, UET New Campus",31.694617800000003,74.2445,university
"Department of Biomedical Engineering, UET New Campus",31.694588100000004,74.2486913,university
"Administration Office, UET New Campus",31.693860999999995,74.248299,university
"Department of Chemical Engineering, UET New Campus",31.694878200000005,74.2475565,university
"Department of Electrical Engineering, UET New Campus",31.694913899999992,74.24567449999999,university
"Department of Mechanical Engineering, UET New Campus",31.6957802,74.2455951,university
"Department of Basic Sciences & Humanities, UET New Campus",31.695760300000003,74.24762189999998,university
"National University of Modern Languages, Lahore",31.56037320000001,74.3302278,university
International College for Legal Studies | ICLS,31.503558900000005,74.327295,university
The University of Lahore,31.3909706,74.2416385,university
Information Technology University of the Punjab - Barki Campus,31.515395299999994,74.4609504,university
Student Service Center,31.446789099999997,74.2678234,university
Examination Office,31.446820100000004,74.2676774,university
Admission Office,31.44711900000001,74.2678048,university
UCP Cricket Ground,31.446401499999986,74.26761179999998,university
Library,31.4477695,74.2677542,university
C parking,31.448217099999994,74.2686673,university
B Parking,31.447505299999996,74.2686443,university
A Parking,31.446791999999995,74.2684531,university
Suleman Dawood School of Business,31.468762457358896,74.4099190074757,university
Lahore University of Management Sciences,31.469926833783664,74.41070638281522,university
King Edward Medical University,31.570544094269913,74.31392668846574,university
Fatima Jinnah Medical University,31.555047352731897,74.31983297083477,university
KEMU Men's Hostels,31.567949172460345,74.3190513000044,university
پنجاب یونیورسٹی,31.569876147651826,74.30877771949604,university
جامعہ انجینئری و ٹیکنالوجی,31.57979121951706,74.35516265072826,university
جامعہ پنجاب,31.495290767605667,74.29229596982891,university
Lahore College for Women University,31.54469370033024,74.32645643184046,university
Government College University,31.57328634211826,74.30803579700888,university
