Location,rent_per_sqft
"Bahria Town - Quaid Block, Bahria Town - Sector E",200.0
"Penta Square By DHA Lahore, DHA Phase 5",400.0
"Emaar Crescent Bay, DHA Phase 8",370.3703703703704
"DHA Phase 5, DHA Defence",296.2962962962963
"DHA Phase 6, DHA Defence",262.22222222222223
"Gulberg, Lahore",507.93650793650795
"Bahria Town - Sector E, Bahria Town",200.0
"DHA Phase 2 - Sector A, DHA Defence Phase 2",177.77777777777777
"DHA Defence Phase 2, DHA Defence",195.55555555555557
"DHA Phase 5 - Block L, DHA Phase 5",311.1111111111111
"Architects Engineers Housing Society, Lahore",144.44444444444446
"DHA Phase 1 - Block P, DHA Phase 1",194.44444444444446
"DHA Phase 6, DHA Defence",281.48148148148147
"DHA Phase 7, DHA Defence",333.3333333333333
"Penta Square By DHA Lahore, DHA Phase 5",666.6666666666666
"Penta Square By DHA Lahore, DHA Phase 5",266.6666666666667
"Penta Square By DHA Lahore, DHA Phase 5",266.6666666666667
"DHA Phase 6, DHA Defence",888.8888888888889
"Gulberg, Lahore",311.1111111111111
"Central Park Housing Scheme, Lahore",81.4814814814815
"DHA Phase 3, DHA Defence",248.88888888888889
"DHA 11 Rahbar Phase 2 - Block G, DHA 11 Rahbar Phase 2",118.51851851851852
"DHA Phase 2, DHA Defence",518.5185185185185
"Bahria Town - Iqbal Block, Bahria Town - Sector E",257.77777777777777
"Bahria Town - Sector E, Bahria Town",266.6666666666667
"DHA Phase 5, DHA Defence",266.6666666666667
"DHA Phase 5, DHA Defence",277.77777777777777
"DHA Phase 7 Extension, DHA Defence",77.77777777777777
"Valencia Housing Society, Lahore",133.33333333333334
"Abdalians Cooperative Housing Society, Lahore",162.962962962963
"Tariq Gardens, Lahore",146.66666666666666
"Wapda Town, Lahore",103.70370370370371
"Creek Vista, DHA Phase 8",322.22222222222223
"DHA Phase 6, DHA Defence",221.33333333333337
"Gulberg 3, Gulberg",311.1111111111111
"Gulberg 3, Gulberg",251.85185185185185
"DHA Defence Phase 2, DHA Defence",177.77777777777777
"DHA 9 Town, DHA Defence",133.33333333333334
"DHA Phase 7 - Block Y, DHA Phase 7",253.33333333333334
"DHA Phase 4, DHA Defence",266.6666666666667
"Shadman, Lahore",320.0
"Model Town, Lahore",207.40740740740742
"Bahria Town - Nishtar Block, Bahria Town - Sector E",200.0
"Gulberg 3, Gulberg",296.2962962962963
"Gulberg, Lahore",518.5185185185185
"Gulberg 3, Gulberg",355.55555555555554
"DHA Phase 6, DHA Defence",288.8888888888889
"DHA Phase 7, DHA Defence",266.6666666666667
"Bukhari Commercial Area, DHA Phase 6",222.22222222222223
"DHA Phase 6, DHA Defence",949.2063492063492
"DHA Phase 7 - Block R, DHA Phase 7",240.0
"DHA Phase 4, DHA Defence",262.22222222222223
"DHA Phase 4, DHA Defence",214.8148148148148
"MM Alam Road, Gulberg",888.8888888888889
"Gulberg, Lahore",444.44444444444446
"Bahria Town - Sector E, Bahria Town",266.6666666666667
"DHA Phase 7 - Block S, DHA Phase 7",253.33333333333334
"DHA Phase 4, DHA Defence",240.0
"DHA Phase 8, DHA Defence",311.1111111111111
"Badar Commercial Area, DHA Phase 5",144.44444444444446
"DHA Phase 6, DHA Defence",311.1111111111111
"DHA 9 Town, DHA Defence",118.51851851851852
"DHA Phase 6, DHA Defence",162.962962962963
"DHA Phase 6, DHA Defence",400.0
"DHA Phase 7, DHA Defence",266.6666666666667
"Penta Square By DHA Lahore, DHA Phase 5",333.3333333333333
"DHA Phase 5, DHA Defence",220.0
"DHA Phase 4, DHA Defence",222.22222222222223
"DHA Phase 6 - Block N, DHA Phase 6",422.22222222222223
"Bahria Town - Sector E, Bahria Town",133.33333333333334
"DHA Phase 6, DHA Defence",296.2962962962963
"DHA Phase 6, DHA Defence",185.1851851851852
"DHA Phase 6, DHA Defence",118.51851851851852
"DHA Phase 5, DHA Defence",211.11111111111111
"DHA Phase 8, DHA Defence",96.29629629629629
"DHA Phase 8 - Ex Park View, DHA Phase 8",250.0
"DHA Phase 6, DHA Defence",266.6666666666667
"Shadab Garden, Lahore",41.48148148148148
"DHA Phase 7, DHA Defence",222.22222222222223
"Pak Arab Housing Society, Lahore",97.77777777777777
"Bahria Town - Sector E, Bahria Town",200.0
"DHA Phase 7, DHA Defence",266.6666666666667
"Garden Town, Lahore",444.44444444444446
"Bahria Town - Rafi Block, Bahria Town - Sector E",103.70370370370371
"Penta Square By DHA Lahore, DHA Phase 5",777.7777777777778
"Paragon City, Lahore",97.77777777777779
"Penta Square By DHA Lahore, DHA Phase 5",777.7777777777778
"DHA Phase 1, DHA Defence",213.33333333333334
"DHA Phase 5, DHA Defence",275.55555555555554
"DHA Phase 7, DHA Defence",257.77777777777777
"DHA 9 Town - Block A, DHA 9 Town",103.70370370370371
"DHA Phase 4, DHA Defence",194.44444444444446
"DHA Phase 1, DHA Defence",166.66666666666666
"DHA Phase 6, DHA Defence",177.77777777777777
"Bahria Town - Sector E, Bahria Town",200.0
"DHA Phase 6 - Block A, DHA Phase 6",297.77777777777777
"DHA Phase 3 - Block Z, DHA Phase 3",500.0
"DHA Phase 6, DHA Defence",208.88888888888889
"DHA Phase 6, DHA Defence",333.3333333333333
"DHA Phase 7, DHA Defence",162.962962962963
"Creek Vista, DHA Phase 8",355.55555555555554
"DHA Phase 4, DHA Defence",148.14814814814815
"DHA Phase 8, DHA Defence",400.0
"Bahria Town - Nishtar Block, Bahria Town - Sector E",200.0
"DHA Defence Phase 2, DHA Defence",248.88888888888889
"DHA Phase 5, DHA Defence",237.03703703703704
"Darakhshan Villas, DHA Phase 6",296.2962962962963
"DHA Phase 4, DHA Defence",296.2962962962963
"Izmir Town, Lahore",888.8888888888889
