2026-05-02 12:49:58 | INFO | __main__ | roads.py:63 | STEP 1C: Road Network Extraction (BBOX mode)
2026-05-02 12:49:58 | INFO | __main__ | roads.py:69 | Downloading road network using bbox...
2026-05-02 12:53:37 | INFO | __main__ | roads.py:63 | STEP 1C: Road Network Extraction (BBOX mode)
2026-05-02 12:53:37 | INFO | __main__ | roads.py:69 | Downloading road network using bbox...
2026-05-02 15:02:48 | ERROR | __main__ | roads.py:83 | Failed to download road network
2026-05-02 15:54:24 | INFO | __main__ | roads.py:63 | STEP 1C: Road Network Extraction (BBOX mode)
2026-05-02 15:54:24 | INFO | __main__ | roads.py:71 | Downloading road network using bbox...
2026-05-02 16:07:49 | INFO | __main__ | universities.py:53 | STEP 1A+: Fetching Universities, Colleges, Parking
2026-05-02 16:07:49 | INFO | __main__ | universities.py:71 | Fetching layer: university
2026-05-02 16:07:49 | WARNING | __main__ | universities.py:44 | Retry 1 failed for tags {'amenity': 'university'}
2026-05-02 16:07:50 | WARNING | __main__ | universities.py:44 | Retry 2 failed for tags {'amenity': 'university'}
2026-05-02 16:07:52 | WARNING | __main__ | universities.py:44 | Retry 3 failed for tags {'amenity': 'university'}
2026-05-02 16:07:56 | WARNING | __main__ | universities.py:76 | No data found for university
2026-05-02 16:07:56 | INFO | __main__ | universities.py:71 | Fetching layer: college
2026-05-02 16:07:56 | WARNING | __main__ | universities.py:44 | Retry 1 failed for tags {'amenity': 'college'}
2026-05-02 16:07:57 | WARNING | __main__ | universities.py:44 | Retry 2 failed for tags {'amenity': 'college'}
2026-05-02 16:07:59 | WARNING | __main__ | universities.py:44 | Retry 3 failed for tags {'amenity': 'college'}
2026-05-02 16:08:03 | WARNING | __main__ | universities.py:76 | No data found for college
2026-05-02 16:08:05 | INFO | __main__ | universities.py:71 | Fetching layer: parking
2026-05-02 16:08:05 | WARNING | __main__ | universities.py:44 | Retry 1 failed for tags {'amenity': 'parking'}
2026-05-02 16:08:06 | WARNING | __main__ | universities.py:44 | Retry 2 failed for tags {'amenity': 'parking'}
2026-05-02 16:08:08 | WARNING | __main__ | universities.py:44 | Retry 3 failed for tags {'amenity': 'parking'}
2026-05-02 16:08:12 | WARNING | __main__ | universities.py:76 | No data found for parking
2026-05-02 16:09:33 | INFO | __main__ | universities.py:55 | STEP 1A: Starting POI Extraction for Lahore
2026-05-02 16:10:42 | INFO | __main__ | universities.py:44 | STEP 1A: Starting POI Extraction for Lahore
2026-05-02 16:10:42 | INFO | __main__ | universities.py:27 | Fetching university from Overpass...
2026-05-02 16:10:43 | INFO | __main__ | universities.py:65 | Collected 77 items for university
2026-05-02 16:10:45 | INFO | __main__ | universities.py:27 | Fetching college from Overpass...
2026-05-02 16:10:45 | INFO | __main__ | universities.py:65 | Collected 80 items for college
2026-05-02 16:10:47 | INFO | __main__ | universities.py:27 | Fetching parking from Overpass...
2026-05-02 16:10:47 | INFO | __main__ | universities.py:65 | Collected 209 items for parking
2026-05-02 16:10:49 | INFO | __main__ | universities.py:87 | Removed 1 spatial duplicates.
2026-05-02 16:13:14 | INFO | __main__ | universities.py:59 | STEP 1A: Starting POI Extraction for Lahore
2026-05-02 16:13:14 | INFO | __main__ | universities.py:34 | Fetching university from Overpass...
2026-05-02 16:13:14 | INFO | __main__ | universities.py:80 | Collected 77 items for university
2026-05-02 16:13:16 | INFO | __main__ | universities.py:34 | Fetching college from Overpass...
2026-05-02 16:13:17 | INFO | __main__ | universities.py:80 | Collected 80 items for college
