index,url,type,purpose,area,bedroom,bath,added,price,initial_amount,monthly_installment,remaining_installments,location,location_city,location_province,country
0,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_lift_pool_and_home_thatar_fully_loded_house-49347252-339-1.html,House,For Sale,1 Kanal,7,6,4 days ago,"PKR
19 Crore",,,,DHA Defence, Islamabad, Islamabad Capital,Pakistan
1,https://www.zameen.com/Property/g_15_g-15_1_investors_should_sale_this_house_located_ideally_in_g-15-52031359-3348-1.html,House,For Sale,14.2 Marla,6,6,4 days ago,"PKR
6 Crore",,,,G-15, Islamabad, Islamabad Capital,Pakistan
2,https://www.zameen.com/Property/islamabad_g-16_beautiful_1_kanal_house_in_g16_luxury_bangalore-52020094-580-1.html,House,For Sale,1 Kanal,8,7,4 days ago,"PKR
7 Crore",,,,G-16, Islamabad, Islamabad Capital,Pakistan
3,https://www.zameen.com/Property/b_17_mpchs_-_multi_gardens_8_marla_brand_new_house_available_for_sale_in_b-17_islamabad_24_7_boring_water_electric_meter_available_near_market_masjid_school_park-52031697-3115-1.html,House,For Sale,8 Marla,4,6,4 days ago,"PKR
2.65 Crore",,,,B-17, Islamabad, Islamabad Capital,Pakistan
4,https://www.zameen.com/Property/islamabad_islamabad_-_murree_expressway_tulip_apartment_islamabad_one_bedroom_flat_for_sale_ready_for_possession-51605685-342-1.html,Flat,For Sale,2.4 Marla,1,1,4 days ago,"PKR
40 Lakh","PKR
4 Lakh","PKR
3 Lakh",12 Months,Islamabad - Murree Expressway, Islamabad, Islamabad Capital,Pakistan
5,https://www.zameen.com/Property/islamabad_mumtaz_city_town_square_1_bedroom_luxury_apartments_for_sale_in_islamabad-50070411-3464-1.html,Flat,For Sale,2.3 Marla,1,1,4 days ago,"PKR
72 Lakh","PKR
21.6 Lakh","PKR
1.2 Lakh",36 Months,Mumtaz City, Islamabad, Islamabad Capital,Pakistan
6,https://www.zameen.com/Property/pir_sohawa_pir_sohawa_road_property_for_sale_pir_sohawa_road_margalla_hills_near_islamabad-51763741-12470-1.html,House,For Sale,5.3 Marla,1,2,3 days ago,"PKR
70 Lakh",,,,Pir Sohawa, Islamabad, Islamabad Capital,Pakistan
7,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_sollar_power_modern_design_double_unit_corner_house_at_sale_in_dha_2_islamabad-51893484-339-1.html,House,For Sale,1 Kanal,6,6,4 days ago,"PKR
11.7 Crore",,,,DHA Defence, Islamabad, Islamabad Capital,Pakistan
8,https://www.zameen.com/Property/islamabad_g-13_gass_meter_installed_investor_price_30x60_luxury_house_for_sale_in_g-13_islamabad-52025846-330-1.html,House,For Sale,7 Marla,4,4,4 days ago,"PKR
5.8 Crore",,,,G-13, Islamabad, Islamabad Capital,Pakistan
9,https://www.zameen.com/Property/g_15_g-15_1_centrally_located_house_in_g-15_1_is_available_for_sale-52031357-3348-1.html,House,For Sale,14.2 Marla,6,6,4 days ago,"PKR
6 Crore",,,,G-15, Islamabad, Islamabad Capital,Pakistan
10,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_-_sector_d_kanal_brand_new_house_available_for_sale_in_dha_phase_2_islamabad-46787705-3199-1.html,House,For Sale,1 Kanal,6,6,4 days ago,"PKR
10.5 Crore",,,,DHA Defence, Islamabad, Islamabad Capital,Pakistan
11,https://www.zameen.com/Property/islamabad_f-10_555_sq_yards_single_storey_house_available_for_sale-52031583-162-1.html,House,For Sale,1.1 Kanal,3,4,4 days ago,"PKR
18 Crore",,,,F-10, Islamabad, Islamabad Capital,Pakistan
12,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_dha_2_one_kanal_beautiful_brand_new_luxury_house_owner_built_house-51242052-339-1.html,House,For Sale,1 Kanal,6,6,1 day ago,"PKR
11.7 Crore",,,,DHA Defence, Islamabad, Islamabad Capital,Pakistan
13,https://www.zameen.com/Property/kashmir_highway_eighteen_2_bed_with_servant-51419819-12602-1.html,Flat,For Sale,5.2 Marla,2,3,4 days ago,"PKR
3.4 Crore",,,,Kashmir Highway, Islamabad, Islamabad Capital,Pakistan
14,https://www.zameen.com/Property/islamabad_chak_shahzad_farm_house_for_sale-51137477-158-1.html,Farm House,For Sale,24 Kanal,4,4,4 days ago,"PKR
42 Crore",,,,Chak Shahzad, Islamabad, Islamabad Capital,Pakistan
15,https://www.zameen.com/Property/g_15_g-15_1_1800_square_feet_house_for_sale_in_the_perfect_location_of_g-15_1-52031361-3348-1.html,House,For Sale,8 Marla,5,5,4 days ago,"PKR
3.7 Crore",,,,G-15, Islamabad, Islamabad Capital,Pakistan
16,https://www.zameen.com/Property/islamabad_b-17_5_marla_house_available_for_sale_in_multi_garden_b-17_islamabad_24_7_boring_water_electric_meter-52020713-616-1.html,House,For Sale,5 Marla,3,4,4 days ago,"PKR
1.65 Crore",,,,B-17, Islamabad, Islamabad Capital,Pakistan
17,https://www.zameen.com/Property/b_17_faisal_margalla_city_8_marla_villa_for_sale_on_2_year_installment_plan_faisal_margalla_city_fmc_a_block-52031490-13424-1.html,House,For Sale,8 Marla,4,4,4 days ago,"PKR
3 Crore","PKR
90 Lakh","PKR
8.75 Lakh",24 Months,B-17, Islamabad, Islamabad Capital,Pakistan
18,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_house_for_sale_is_readily_available_in_prime_location_of_dha_defence_phase_2-50693484-339-1.html,House,For Sale,1 Kanal,6,6,4 days ago,"PKR
14 Crore",,,,DHA Defence, Islamabad, Islamabad Capital,Pakistan
19,https://www.zameen.com/Property/islamabad_b-17_10_marla_luxury_house_for_sale_b-17_islamabad-51950018-616-1.html,House,For Sale,10 Marla,5,6,2 days ago,"PKR
4.5 Crore",,,,B-17, Islamabad, Islamabad Capital,Pakistan
20,https://www.zameen.com/Property/islamabad_g-11_g-11_3bed_apartment_for_sale_on_investor_price-52027630-168-1.html,Flat,For Sale,9.8 Marla,3,3,4 days ago,"PKR
2.7 Crore",,,,G-11, Islamabad, Islamabad Capital,Pakistan
21,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_-_sector_c_lavish_new_furnished_house_sector_c_dha_02_islamabad_for_sale-49975569-3198-1.html,House,For Sale,1 Kanal,6,6,5 days ago,"PKR
11.5 Crore",,,,DHA Defence, Islamabad, Islamabad Capital,Pakistan
22,https://www.zameen.com/Property/islamabad_e-11_e-11_npf_kanal_house_investor_rate_islamabad-52030957-329-1.html,House,For Sale,1 Kanal,7,7,4 days ago,"PKR
11.5 Crore",,,,E-11, Islamabad, Islamabad Capital,Pakistan
23,https://www.zameen.com/Property/dha_defence_phase_5_dha_phase_5_-_sector_h_stunning_modern_masterpiece_of_28_marla_in_dha_2_islamabad-51042439-11869-1.html,House,For Sale,1.4 Kanal,5,5,4 days ago,"PKR
16.75 Crore",,,,DHA Defence, Islamabad, Islamabad Capital,Pakistan
24,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_dha_2_one_kanal_brand_new_beautiful_luxurious_house_prime_location_of_dha_2-49646593-339-1.html,House,For Sale,1 Kanal,6,6,1 day ago,"PKR
11.5 Crore",,,,DHA Defence, Islamabad, Islamabad Capital,Pakistan
25,https://www.zameen.com/Property/i_8_i-8_3_double_storey_house_is_available_for_sale_in_i-8_3-50982392-3443-1.html,House,For Sale,14.2 Marla,6,6,4 days ago,"PKR
10.5 Crore",,,,I-8, Islamabad, Islamabad Capital,Pakistan
26,https://www.zameen.com/Property/dha_defence_dha_defence_phase_5_2_kanal_luxurious_house_with_2_side_approach_at_height_location-51518228-10991-1.html,House,For Sale,2 Kanal,6,7,1 day ago,"PKR
16.5 Crore",,,,DHA Defence, Islamabad, Islamabad Capital,Pakistan
27,https://www.zameen.com/Property/islamabad_f-11_luxury_2_bed_apartment_for_sell_in_sugrah_tower_f-11-50556784-163-1.html,Flat,For Sale,6.4 Marla,2,2,5 days ago,"PKR
2.55 Crore",,,,F-11, Islamabad, Islamabad Capital,Pakistan
