h3_index,population_in_hex,avg_rent_in_hex,dist_to_nearest_road,commercial_density_1km,education_density_1km,parking_density_1km,lifestyle_density_1km,luxury_density_1km,is_hotspot
89424d00003ffff,285.0,35000.0,1728.22,0,0,0,0,0,0
89424d00023ffff,9317.0,100909.09090909091,1354.38,0,0,0,0,0,0
89424d00043ffff,1553.0,35000.0,1339.87,0,0,0,0,0,0
89424d00063ffff,10268.0,35000.0,812.69,0,0,0,0,0,0
89424d000a3ffff,190.0,35000.0,2308.25,0,0,0,0,0,0
89424d000c3ffff,222.0,35000.0,2253.47,0,0,0,0,0,0
89424d00103ffff,15116.0,40000.0,1075.76,0,0,0,0,0,0
89424d00123ffff,8081.0,40000.0,201.03,0,0,0,0,0,0
89424d00127ffff,0.0,15000.0,177.95,0,0,0,0,0,0
89424d0012bffff,0.0,40000.0,440.57,0,0,0,0,0,0
89424d0012fffff,0.0,15000.0,242.82,0,0,0,0,0,0
89424d00143ffff,15148.0,47220.0,775.32,0,0,0,0,0,0
89424d00163ffff,8620.0,47220.0,129.83,0,0,0,0,0,0
89424d0016fffff,0.0,47220.0,108.39,0,0,0,0,0,0
89424d00183ffff,3.0,40000.0,1181.94,0,0,0,0,0,0
89424d001a3ffff,1363.0,40000.0,372.6,0,0,0,0,0,0
89424d001b7ffff,0.0,52367.64705882353,83.11,0,0,0,0,0,0
89424d001c3ffff,3961.0,40000.0,1727.68,0,0,0,0,0,0
89424d00283ffff,919.0,35000.0,1375.81,0,0,0,0,0,0
89424d002a3ffff,5705.0,35000.0,469.2,0,0,0,0,0,0
89424d002afffff,0.0,35000.0,104.75,0,0,0,0,0,0
89424d00303ffff,10553.0,55060.606060606064,232.35,0,0,0,0,0,0
89424d00307ffff,0.0,55060.606060606064,78.38,0,0,0,0,0,0
89424d0030fffff,0.0,55060.606060606064,190.2,0,0,0,0,0,0
89424d00313ffff,0.0,100909.09090909091,254.57,0,0,0,0,0,0
89424d00317ffff,0.0,100909.09090909091,113.59,0,0,0,0,0,0
89424d00323ffff,11630.0,69400.0,475.28,0,0,0,0,0,0
89424d00333ffff,0.0,55060.606060606064,117.86,0,0,0,0,0,0
89424d00343ffff,14007.0,35000.0,676.32,0,0,0,0,0,0
89424d00363ffff,13342.0,55060.606060606064,353.65,0,0,0,0,0,0
89424d00373ffff,0.0,55060.606060606064,64.18,0,0,0,0,0,0
89424d00383ffff,14831.0,100909.09090909091,406.13,0,0,0,0,0,0
89424d0038fffff,0.0,100909.09090909091,57.2,0,0,0,0,0,0
89424d003a3ffff,9159.0,69400.0,149.36,0,0,0,0,0,0
89424d003a7ffff,0.0,69400.0,174.25,0,0,0,0,0,0
89424d003afffff,0.0,69400.0,77.26,0,0,0,0,0,0
89424d003b3ffff,0.0,100909.09090909091,162.26,0,0,0,0,0,0
89424d003b7ffff,0.0,47220.0,148.17,0,0,0,0,0,0
89424d003bbffff,0.0,100909.09090909091,64.28,0,0,0,0,0,0
89424d003c3ffff,9317.0,35000.0,398.51,0,0,0,0,0,0
89424d003dbffff,0.0,35000.0,139.06,0,0,0,0,0,0
89424d00483ffff,1.0,35000.0,2087.2,0,0,0,0,0,0
89424d004a3ffff,100.0,35000.0,3027.88,0,0,0,0,0,0
89424d004c3ffff,319.0,35000.0,2118.81,0,0,0,0,0,0
89424d00523ffff,190.0,40000.0,1689.79,0,0,0,0,0,0
89424d00603ffff,63.0,35000.0,3024.55,0,0,0,0,0,0
89424d00623ffff,222.0,35000.0,2145.26,0,0,0,0,0,0
89424d00643ffff,222.0,35000.0,3314.69,0,0,0,0,0,0
89424d00663ffff,2566.0,35000.0,2341.34,0,0,0,0,0,0
89424d006c3ffff,1.0,35000.0,3950.98,0,0,0,0,0,0
89424d00803ffff,3803.0,35900.0,211.56,0,0,0,1,0,0
89424d00817ffff,0.0,35900.0,201.46,0,0,0,1,0,0
89424d0081bffff,0.0,35900.0,99.67,0,0,0,1,0,0
89424d00823ffff,6021.0,54935.114503816796,168.32,0,0,0,0,0,0
89424d0082bffff,0.0,54935.114503816796,130.78,0,0,0,0,0,0
89424d00833ffff,0.0,70300.0,182.02,0,0,0,0,0,0
89424d00837ffff,0.0,70300.0,115.83,0,0,0,0,0,0
89424d00843ffff,5039.0,35900.0,331.78,0,1,0,0,2,0
89424d00847ffff,0.0,64504.854368932036,131.93,0,1,0,0,2,0
89424d00853ffff,0.0,35900.0,180.37,0,0,1,3,0,0
89424d00857ffff,0.0,35900.0,173.91,0,1,0,0,0,0
89424d00863ffff,9571.0,64504.854368932036,232.48,0,1,0,0,1,0
89424d0086bffff,0.0,64504.854368932036,145.31,0,1,0,0,2,0
89424d00873ffff,0.0,64504.854368932036,110.1,0,1,0,0,1,0
89424d00877ffff,0.0,64504.854368932036,87.07,0,0,0,0,0,0
89424d0087bffff,0.0,64504.854368932036,184.68,0,1,0,0,2,0
89424d00883ffff,4658.0,35900.0,710.84,0,0,1,1,2,0
89424d00887ffff,0.0,32427.14285714286,553.65,0,0,0,3,1,0
89424d008a3ffff,3645.0,70300.0,155.98,0,0,0,1,0,0
89424d008a7ffff,0.0,70300.0,153.81,0,0,0,0,0,0
89424d008abffff,0.0,70300.0,183.98,0,0,0,1,0,0
89424d008afffff,0.0,70300.0,24.32,0,0,0,1,0,0
89424d008c3ffff,7003.0,35900.0,539.64,0,0,1,4,0,0
89424d008d3ffff,0.0,35900.0,179.24,0,0,2,4,1,0
89424d008d7ffff,0.0,35900.0,514.77,0,0,2,5,2,0
89424d00903ffff,13500.0,32500.0,53.34,0,0,0,1,0,0
89424d0090fffff,0.0,58136.36363636364,124.37,0,9,0,1,1,0
89424d0091bffff,0.0,47363.63636363636,360.29,0,0,0,0,0,0
