name,amenity,lat,lon
Services Club,cafe,31.5185277,74.37773190000001
Unnamed Dining_Spots,cafe,31.5379372,74.3536993
Main Cafeteria,cafe,31.503686499999997,74.3078108
Main Cafeteria,restaurant,31.497104500000003,74.3068676
ڈنکن ڈونٹس,fast_food,31.475349599999994,74.3781516
Gourmet Grill,restaurant,31.4747018,74.3785748
Bundu Khan,restaurant,31.473559899999998,74.3792443
Unnamed Dining_Spots,fast_food,31.47439010000001,74.37656909999998
Unnamed Dining_Spots,fast_food,31.47339879999999,74.3766437
گلوریا جینز,cafe,31.474167499999993,74.37923569999998
Bundu Khan,restaurant,31.5654607,74.31551919999998
Indulge,cafe,31.514389199999997,74.3512606
Unnamed Dining_Spots,restaurant,31.531648399999998,74.365306
Unnamed Dining_Spots,fast_food,31.5076336,74.347735
مکڈونلڈز,fast_food,31.519732200000004,74.2906808
Bundu khan,restaurant,31.520958899999997,74.2907459
Unnamed Dining_Spots,restaurant,31.52129689999999,74.3478278
پیزا ہٹ,restaurant,31.502021800000005,74.4233827
مکڈونلڈز,fast_food,31.5320166,74.3641378
Baghdadi Restaurant,restaurant,31.539191999999996,74.3309128
MeatEx,restaurant,31.5391468,74.33063919999998
Baba Ji Qulfi,cafe,31.521266299999994,74.32534209999999
Foods Gallery,restaurant,31.520772999999995,74.3240049
Dine Out,restaurant,31.520670700000007,74.3230175
Fazel Haq,restaurant,31.5202557,74.3237246
Gawal Mandi Food Street,restaurant,31.572149499999995,74.31881119999998
کینٹکی فرائیڈ چکن,fast_food,31.562121399999995,74.3180407
سب وے,fast_food,31.510758999999986,74.3458555
"Banera, Rooftop Restaurant",restaurant,31.447171800000003,74.215028
Bundu Khan,restaurant,31.534267400000004,74.36416970000002
ہارڈیز,fast_food,31.46800760000001,74.2322824
کینٹکی فرائیڈ چکن,fast_food,31.468263799999992,74.2326794
Fort View Hotel & Restaurant,restaurant,31.587319500000007,74.3119051
کوکوز ڈین,restaurant,31.5870545,74.3115511
مکڈونلڈز,fast_food,31.4760144,74.3767769
Ze' Grill,restaurant,31.434409700000007,74.21308439999999
مکڈونلڈز,fast_food,31.466965200000008,74.2518573
Siddique Kebab,restaurant,31.489642699999994,74.3192567
Manhattan Bites,fast_food,31.468647099999995,74.30724389999999
Zakir Tikka,restaurant,31.475024299999994,74.3053249
Krados,restaurant,31.47576359999999,74.30627339999998
Unnamed Dining_Spots,cafe,31.5873751,74.339805
chen one resturant,restaurant,31.5165498,74.3423889
Al-Rehmat,restaurant,31.521124600000004,74.29209829999999
Hafiz Juice Corner,cafe,31.5678728,74.31001519999998
Vouge Towers,restaurant,31.508751699999994,74.3498654
KFC ,fast_food,31.5014314,74.366024
Marriage Hut,restaurant,31.4256223,74.2848505
Kings N Queens,restaurant,31.4837758,74.39549329999998
PG Cafe,cafe,31.575358799999993,74.3072304
Bhaiya Kebab,restaurant,31.49042640000001,74.31911349999999
جاوا ریسٹورانٹ,restaurant,31.5239698,74.3235983
بھٹی تکہ شاپ,restaurant,31.524376199999995,74.3184866
Lahore Brost,restaurant,31.517852399999995,74.31751649999998
IN Canal Resturant,restaurant,31.5190478,74.3266936
Dher Aala,fast_food,31.485682200000003,74.30760279999998
Maroo tandoor,restaurant,31.485440500000006,74.3077095
Grill and bake Restaurant,restaurant,31.48838569999999,74.3081519
Jawa Family Restaurant,restaurant,31.52399659999999,74.3234883
Eataly Ristorante,restaurant,31.519176300000005,74.3460254
Aroma Grill,restaurant,31.5261593,74.4535785
BFC,restaurant,31.522437599999996,74.28997829999999
Lahore Broast,restaurant,31.52315229999999,74.2890749
Inter Cafe,cafe,31.57207250000001,74.30864779999999
Kuku's Grill and Family Restaurant,fast_food,31.48169280000001,74.3021554
Chicken & Bun,fast_food,31.4815351,74.30190279999998
Wright Burger,fast_food,31.4646136,74.38947199999998
Sarpinos,fast_food,31.463773899999993,74.38968839999998
Lassani Foods,fast_food,31.5633819,74.3804239
Lasani Shawarma & Burger,fast_food,31.562595899999994,74.38027619999998
Hotpot Family Resturant,restaurant,31.480346299999994,74.3142544
Yasir Broast Fateh Garh Road Br,restaurant,31.566808,74.40485039999999
BFC,fast_food,31.458055799999997,74.3080428
Topsy Burger,restaurant,31.541828499999987,74.3016005
Turkish Restaurant & Cafe,cafe,31.510316999999993,74.3507033
chili food point,fast_food,31.619891999999997,74.2821244
Grill,restaurant,31.4737351,74.4086932
Heera dahi bhallay,fast_food,31.557922100000003,74.2810635
Majarica,fast_food,31.5187609,74.324019
Muqadas & Biryani House,restaurant,31.477065600000007,74.310378
Monal restaurant Lahore,restaurant,31.5097528,74.34103879999999
Fc university cafe,cafe,31.5196324,74.3347358
Atta Makhan Singh,fast_food,31.553770199999988,74.3624012
Unnamed Dining_Spots,fast_food,31.5156254,74.2852165
Zafran restaurant,restaurant,31.471886700000002,74.37432199999999
LA ATRIUM,restaurant,31.5169274,74.3420874
Options,restaurant,31.5014137,74.3227798
the restaurant,restaurant,31.4515669,74.2683403
SHOKAT HOTEL,restaurant,31.5196676,74.27108939999998
Fam Flats,cafe,31.520645499999986,74.2712621
Mr.Chicks,cafe,31.563945299999997,74.3807989
Gourmet Restaurant,restaurant,31.4500628,74.2707066
Cafe & fine dining place,cafe,31.4493135,74.2695546
KaKa,fast_food,31.448767600000007,74.26877789999999
Yasir Broast TakeAway & Delivery,fast_food,31.4509446,74.27020479999999
California Pizzeria,restaurant,31.450036599999994,74.2698197
Awesomosa,cafe,31.501810999999996,74.3737468
Broadway Pizza,fast_food,31.4714523,74.3766358
SFC,fast_food,31.452621299999997,74.2181439
Johnny and Jugnu,restaurant,31.462161400000003,74.2884209
Goonga Kabab Shop,restaurant,31.562376299999997,74.3201608
Al-Noor Hotel & Restaurant,restaurant,31.679078199999996,74.2779645
Arzu Hotel & Restaurant,restaurant,31.659940300000002,74.2812993
Italian Pizza,restaurant,31.63225909999999,74.28706669999998
Too Hot Too Spicy,restaurant,31.6231745,74.2889565
Dhaka Bhaya Biryani Point,restaurant,31.6195218,74.28973509999999
Instant Burgers,restaurant,31.6159444,74.2904323
