name,lat,lon,layer
Unnamed parking,31.482061899999994,74.3953823,parking
Unnamed parking,31.4847505,74.3926132,parking
Unnamed parking,31.4779689,74.37728,parking
Unnamed parking,31.473958599999996,74.40141149999998,parking
Unnamed parking,31.47523229999999,74.4009137,parking
Unnamed parking,31.47525419999999,74.4023556,parking
Unnamed parking,31.473470600000002,74.37749339999999,parking
Unnamed parking,31.473075299999998,74.3770643,parking
Unnamed parking,31.4739318,74.3782487,parking
Unnamed parking,31.5508084,74.2823439,parking
Unnamed parking,31.56591119999999,74.37083539999999,parking
Shad Bagh,31.598129700000005,74.3341065,parking
Parking for Department of Geography,31.502340000000004,74.3095875,parking
Unnamed parking,31.47404300000001,74.37899539999998,parking
Unnamed parking,31.4730035,74.37831740000001,parking
Unnamed parking,31.47208120000001,74.37679819999998,parking
Unnamed parking,31.474394399999994,74.37604279999998,parking
Unnamed parking,31.4758145,74.37715009999998,parking
Unnamed parking,31.475097100000003,74.3781629,parking
Unnamed parking,31.474408999999994,74.377708,parking
Unnamed parking,31.476736900000002,74.3772101,parking
Unnamed parking,31.477893399999996,74.37655779999999,parking
Hospital Parking,31.496542400000003,74.26357249999998,parking
Jers Engineering Consultants,31.470064899999986,74.31867539999999,parking
TUSDEC Car Parking,31.444896700000005,74.33530909999999,parking
Unnamed parking,31.553558600000006,74.2795357,parking
Unnamed parking,31.5040168,74.3085662,parking
Unnamed parking,31.568400899999997,74.3005676,parking
Unnamed parking,31.5505962,74.3573325,parking
Parking plaza,31.519947399999996,74.29117479999998,parking
Unnamed parking,31.621331099999992,74.29981209999998,parking
Unnamed parking,31.52737709999999,74.3496567,parking
Unnamed parking,31.525170599999996,74.3501394,parking
Unnamed parking,31.469364228674,74.40966494924042,parking
Unnamed parking,31.468646509875985,74.40923083353326,parking
Unnamed parking,31.469147802721864,74.40889000317533,parking
Unnamed parking,31.46916223432858,74.40712898459924,parking
Unnamed parking,31.468870255772934,74.40833932439068,parking
Unnamed parking,31.4705465549776,74.4131076007596,parking
Unnamed parking,31.472189802044582,74.40961293420189,parking
Unnamed parking,31.47264116527077,74.41047635385678,parking
Unnamed parking,31.469313723852416,74.41328184631045,parking
Unnamed parking,31.479332615999162,74.27984039707044,parking
Unnamed parking,31.590101445154406,74.50164795035049,parking
Unnamed parking,31.589713647669587,74.50242218694905,parking
Unnamed parking,31.44918594618708,74.27198250642147,parking
Unnamed parking,31.449570850156118,74.27149704999722,parking
Unnamed parking,31.44927470000565,74.27219219999378,parking
Unnamed parking,31.449169220290916,74.27234901989462,parking
Unnamed parking,31.520446179978308,74.41416337477436,parking
Unnamed parking,31.500614227861526,74.4204075448168,parking
Unnamed parking,31.584699564882644,74.38445470191444,parking
Unnamed parking,31.584892420089762,74.3845064098399,parking
Unnamed parking,31.54022280003428,74.39895409996488,parking
Unnamed parking,31.539932050043923,74.3989590499423,parking
Unnamed parking,31.528950192697454,74.39963855020989,parking
Liberty Markit Parking,31.51031250495191,74.34477904520088,parking
Unnamed parking,31.559584802589526,74.32682728610617,parking
Unnamed parking,31.534874550769526,74.36525907886946,parking
Unnamed parking,31.551491431283218,74.33920175495771,parking
D-Plaza,31.581533412143262,74.31836305332335,parking
Hospital Parking,31.47537383357465,74.33952391836132,parking
Unnamed parking,31.434478841065193,74.21428172536135,parking
Unnamed parking,31.467011793516335,74.2354274646591,parking
Unnamed parking,31.471714072427915,74.30661898278017,parking
Unnamed parking,31.509769296685235,74.34096104514728,parking
Unnamed parking,31.481252472394477,74.31161294265291,parking
Unnamed parking,31.48803776734088,74.32811137333357,parking
Unnamed parking,31.44710298843907,74.21536588175042,parking
Unnamed parking,31.480986150174566,74.31124610002439,parking
Unnamed parking,31.50055864844534,74.32090403762219,parking
Unnamed parking,31.47633722716215,74.33682637182531,parking
Unnamed parking,31.451572819374118,74.29161762817658,parking
Unnamed parking,31.589775499195678,74.30762886235209,parking
Unnamed parking,31.45458122045051,74.35150873333333,parking
FCC car parking,31.522005935791743,74.3304622239881,parking
Unnamed parking,31.495925790272683,74.42224606323124,parking
Unnamed parking,31.473905077496145,74.40138794857549,parking
National Hospital Parking Lot,31.484534636188105,74.39633911057048,parking
Unnamed parking,31.482343500203637,74.39629040002657,parking
Unnamed parking,31.48420126520485,74.39423012673353,parking
Unnamed parking,31.48472281291156,74.39263555043817,parking
City Cinema,31.58511977229664,74.31462966999568,parking
Lahore Transport Company Bus Depot,31.574427148476563,74.33587931601691,parking
Patiala Ground,31.567260159221615,74.31756193299958,parking
Plaza Cinema,31.55817763330135,74.32315329462108,parking
Unnamed parking,31.556932056456535,74.33007402522522,parking
Unnamed parking,31.561140468329395,74.33768898771443,parking
Unnamed parking,31.56654390275522,74.33623793945354,parking
