Latitude,Longitude,Population
31.653069,74.463633,3615
31.639721,74.241228,4449
31.648529,74.255735,2358
31.647558,74.245434,8
31.633826,74.257621,1538
31.632855,74.247322,2108
31.641663,74.261828,50
31.640692,74.251528,936
31.636734,74.288518,12137
31.645537,74.303029,7130
31.644569,74.292728,15687
31.630833,74.304904,17557
31.629866,74.294606,12232
31.638668,74.309117,6623
31.637701,74.298817,6148
31.62696,74.263712,3677
31.635765,74.278218,18158
31.634796,74.267919,10030
31.621063,74.280099,16067
31.620094,74.269802,15814
31.628898,74.284308,19204
31.62793,74.27401,18381
31.653372,74.307242,634
31.652405,74.29694,9127
31.6495,74.266036,5068
31.643601,74.282428,15845
31.642632,74.272128,6255
31.651438,74.286638,15212
31.650469,74.276337,14046
31.598423,74.355908,17267
31.607215,74.370419,10723
31.606253,74.360124,12945
31.592516,74.372278,18513
31.591555,74.361985,17390
31.600346,74.376495,18758
31.599385,74.366202,15339
31.630708,74.383077,300
31.639499,74.397598,904
31.63854,74.387298,2750
31.624796,74.399452,391
31.623837,74.389154,708
31.632627,74.403674,147
31.631668,74.393375,342
31.620954,74.358262,305
31.629747,74.372778,144
31.628786,74.36248,48
31.615046,74.374637,2663
31.614084,74.364341,4909
31.622877,74.378856,391
31.621916,74.368559,1099
31.595396,74.403157,16340
31.604182,74.417673,10405
31.603224,74.407378,14703
31.589484,74.419521,13971
31.588526,74.409229,17195
31.597311,74.423744,9843
31.596354,74.41345,10380
31.585648,74.378353,15974
31.594437,74.392864,19906
31.593477,74.382571,18196
31.579739,74.394717,20394
31.57878,74.384427,20004
31.587567,74.398936,19344
31.586608,74.388645,16999
31.617925,74.405527,2101
31.626713,74.420048,1099
31.625755,74.40975,171
31.612011,74.421896,9794
31.611053,74.4116,10796
31.61984,74.426121,4543
31.618883,74.415824,1563
31.608176,74.380714,6204
31.616966,74.39523,1416
31.616006,74.384933,342
31.602266,74.397084,15998
31.601306,74.386789,17390
31.610095,74.401305,3469
31.609136,74.391009,4933
31.591665,74.283858,4152
31.600466,74.298359,14229
31.599498,74.288065,443
31.585768,74.300234,24782
31.584801,74.289943,26272
31.5936,74.304443,20567
31.592633,74.29415,17081
31.623965,74.31099,3866
31.632765,74.325502,1
31.631799,74.315203,3074
31.618063,74.327371,760
31.617098,74.317075,5
31.625896,74.331585,2
31.624931,74.321288,1
31.614197,74.286187,14228
31.622999,74.300693,14356
31.622032,74.290396,11060
31.608299,74.302568,7954
31.607331,74.292273,5515
31.616132,74.306779,2186
31.615165,74.296483,7416
31.588665,74.331109,24221
31.59746,74.345614,25194
31.596496,74.335321,24243
31.582763,74.347479,21358
31.581799,74.337188,17227
31.590592,74.351693,21454
31.589629,74.341401,27032
31.578904,74.306316,20948
31.5877,74.320817,17831
31.586735,74.310525,16923
31.573005,74.322686,14606
31.572039,74.312397,19895
