h3_index,xgb_hotspot_probability,map_rank,shap_population_in_hex,shap_avg_rent_in_hex,shap_dist_to_nearest_road,shap_commercial_density_1km,shap_education_density_1km,shap_parking_density_1km,shap_lifestyle_density_1km,shap_luxury_density_1km
89424d07207ffff,0.99629074,1,0.39689803,0.7536273,0.5173259,0.0,0.0,0.0,1.0244454,2.6496134
89424d04473ffff,0.99622583,2,0.39689803,0.7536273,0.48222002,0.0,0.0,0.0,1.0343266,2.6496134
89424d054cbffff,0.99611986,3,0.39689803,0.7536273,0.48222002,0.0,0.0,0.0,1.0343266,2.6496134
89424d31453ffff,0.9961142,4,0.39689803,0.7536273,0.48222002,0.0,0.0,0.0,1.0343266,2.6496134
89424d00e17ffff,0.9958011,5,0.39689803,0.7536273,0.48222002,0.0,0.0,0.0,1.0343266,2.6496134
89424d06177ffff,0.99579597,6,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d040afffff,0.99579597,7,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d05d67ffff,0.99579597,8,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d00927ffff,0.99579597,9,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d040a7ffff,0.99579597,10,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d04297ffff,0.99579597,11,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d0636fffff,0.99579597,12,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d00937ffff,0.99579597,13,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d06107ffff,0.99579597,14,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d0612bffff,0.99579597,15,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d0418bffff,0.99579597,16,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d0411bffff,0.99579597,17,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d041c7ffff,0.99579597,18,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d04cb7ffff,0.99579597,19,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d04187ffff,0.99579597,20,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d0093bffff,0.99579597,21,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d04cb3ffff,0.99579597,22,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d3a457ffff,0.99579597,23,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424da9293ffff,0.99579597,24,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d04197ffff,0.99579597,25,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d04cbbffff,0.99579597,26,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d0681bffff,0.99579597,27,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d059bbffff,0.99579597,28,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d05457ffff,0.99579597,29,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d042d3ffff,0.99579597,30,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d042dbffff,0.99579597,31,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d042c7ffff,0.99579597,32,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424da928bffff,0.99579597,33,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d042abffff,0.99579597,34,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d04287ffff,0.99579597,35,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d0680bffff,0.99579597,36,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d3a4cfffff,0.99579597,37,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d0092bffff,0.99579597,38,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d0544bffff,0.99579597,39,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d0092fffff,0.99579597,40,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d040abffff,0.99579597,41,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d31477ffff,0.99579597,42,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d040dbffff,0.99579597,43,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d0404bffff,0.99579597,44,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d04647ffff,0.99579597,45,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d0463bffff,0.99579597,46,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d04627ffff,0.99579597,47,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424da962bffff,0.99579597,48,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d046a7ffff,0.99579597,49,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
89424d06e5bffff,0.99579597,50,0.39556518,0.7536273,0.51268345,0.0,0.0,0.0,1.0051959,2.6496134
